year_month,median_price,mean_price,listing_count,median_age,median_odometer,year_month_dt,month_index,make,model,rolling_3m_price,price_change_pct
2015-03,14950.0,14641.99609375,256,3.0,50051.5,2015-03-01,3,Toyota,RAV4,14883.333333333334,-0.0033333333333332993
2015-04,14000.0,15078.57142857143,7,3.0,39753.0,2015-04-01,4,Toyota,RAV4,14650.0,-0.0635451505016722
2015-05,15500.0,15167.771986970683,307,3.0,44454.0,2015-05-01,5,Toyota,RAV4,14816.666666666666,0.1071428571428572
2015-06,15300.0,14831.445302445303,777,3.0,40360.0,2015-06-01,6,Toyota,RAV4,14933.333333333334,-0.012903225806451646
2015-07,16200.0,14638.888888888889,9,3.0,44995.0,2015-07-01,7,Toyota,RAV4,15666.666666666666,0.05882352941176472
2014-01,12300.0,11783.333333333334,6,1.5,41575.0,2014-01-01,0,Nissan,Altima,12300.0,0.0
2014-12,11800.0,10484.41357234315,1562,2.0,39124.0,2014-12-01,1,Nissan,Altima,12050.0,-0.04065040650406504
2015-01,12000.0,11379.79843040066,4842,3.0,36884.5,2015-01-01,2,Nissan,Altima,12033.333333333334,0.016949152542372836
2015-02,12250.0,11737.185384992643,6117,3.0,37095.0,2015-02-01,3,Nissan,Altima,12016.666666666666,0.02083333333333326
2015-03,12600.0,11986.488876529476,1798,3.0,37473.5,2015-03-01,4,Nissan,Altima,12283.333333333334,0.02857142857142847
2015-04,13000.0,12542.063492063493,63,3.0,35780.0,2015-04-01,5,Nissan,Altima,12616.666666666666,0.031746031746031855
2015-05,11800.0,11271.878002528445,1582,3.0,37809.0,2015-05-01,6,Nissan,Altima,12466.666666666666,-0.09230769230769231
2015-06,11800.0,11456.521362229103,3230,3.0,37739.0,2015-06-01,7,Nissan,Altima,12200.0,0.0
2015-07,11100.0,10143.103448275862,29,3.0,37159.0,2015-07-01,8,Nissan,Altima,11566.666666666666,-0.05932203389830504
2014-01,18750.0,18428.571428571428,28,0.0,26496.0,2014-01-01,0,Ford,Escape,18750.0,0.0
2014-12,11900.0,11368.1087202718,883,2.0,60410.0,2014-12-01,1,Ford,Escape,15325.0,-0.3653333333333333
2015-01,15300.0,14165.309333333333,3000,2.0,38809.5,2015-01-01,2,Ford,Escape,15316.666666666666,0.2857142857142858
2015-02,15100.0,13963.203328710124,3605,3.0,41666.0,2015-02-01,3,Ford,Escape,14100.0,-0.013071895424836555
2015-03,16100.0,15008.108716026241,1067,2.0,37342.0,2015-03-01,4,Ford,Escape,15500.0,0.0662251655629138
2015-04,12400.0,12798.275862068966,29,2.0,37181.0,2015-04-01,5,Ford,Escape,14533.333333333334,-0.22981366459627328
2015-05,14700.0,14193.54260089686,1115,2.0,42869.0,2015-05-01,6,Ford,Escape,14400.0,0.185483870967742
2015-06,14600.0,14114.361177028952,2107,2.0,42575.0,2015-06-01,7,Ford,Escape,13900.0,-0.006802721088435382
2015-07,14150.0,13821.42857142857,28,2.0,42075.5,2015-07-01,8,Ford,Escape,14483.333333333334,-0.03082191780821919
